lemma	status	detail
abacelar	already_paired	ya estaba en el corpus
abafallar	added	manual_verified:despreciar
abafar	already_paired	ya estaba en el corpus
abagar	unresolved	sin equivalente ES seguro
abaixar	already_paired	ya estaba en el corpus
abalanzar	already_paired	ya estaba en el corpus
abalar	already_paired	ya estaba en el corpus
abalear	unresolved	sin equivalente ES seguro
aballoar	unresolved	sin equivalente ES seguro
abalocar	unresolved	sin equivalente ES seguro
abaloirar	unresolved	sin equivalente ES seguro
abanar	added	manual_verified:abanicar
abandeirar	unresolved	sin equivalente ES seguro
abandonar	already_paired	ya estaba en el corpus
abandoxar	unresolved	sin equivalente ES seguro
abanear	added	apertium:abanear
abanicar	already_paired	ya estaba en el corpus
abaratar	already_paired	ya estaba en el corpus
abarbar	unresolved	sin equivalente ES seguro
abarbeitar	unresolved	sin equivalente ES seguro
abarcar	already_paired	ya estaba en el corpus
abarcular	unresolved	sin equivalente ES seguro
abarloar	already_paired	ya estaba en el corpus
abaroutar	unresolved	sin equivalente ES seguro
abarquiñar	already_paired	ya estaba en el corpus
abarregar	added	apertium:abarraganar
abarrelar	unresolved	sin equivalente ES seguro
abarrigar	unresolved	sin equivalente ES seguro
abarrotar	already_paired	ya estaba en el corpus
abastar	already_paired	ya estaba en el corpus
abastardar	unresolved	sin equivalente ES seguro
abastecer	already_paired	ya estaba en el corpus
abatanar	unresolved	sin equivalente ES seguro
abater	already_paired	ya estaba en el corpus
abdicar	already_paired	ya estaba en el corpus
abeberar	already_paired	ya estaba en el corpus
abecerrar	unresolved	sin equivalente ES seguro
abeirar	unresolved	sin equivalente ES seguro
abellar	added	apertium:abejar
abelloar	added	apertium:abejorrear
abesourar	unresolved	sin equivalente ES seguro
abestar	unresolved	sin equivalente ES seguro
abesullar	unresolved	sin equivalente ES seguro
abetumar	unresolved	sin equivalente ES seguro
abicadar	unresolved	sin equivalente ES seguro
abicar	unresolved	sin equivalente ES seguro
abichar	added	apertium:agorgojar
abillar	unresolved	sin equivalente ES seguro
abiñar	unresolved	sin equivalente ES seguro
abirtar	unresolved	sin equivalente ES seguro
abismar	already_paired	ya estaba en el corpus
ablaquear	unresolved	sin equivalente ES seguro
aboar	unresolved	sin equivalente ES seguro
abobar	already_paired	ya estaba en el corpus
abocadar	unresolved	sin equivalente ES seguro
abocañar	unresolved	sin equivalente ES seguro
abocar	already_paired	ya estaba en el corpus
aboiar	already_paired	ya estaba en el corpus
abolar	already_paired	ya estaba en el corpus
abolir	already_paired	ya estaba en el corpus
abominar	already_paired	ya estaba en el corpus
abonar	already_paired	ya estaba en el corpus
abondar	already_paired	ya estaba en el corpus
abordar	already_paired	ya estaba en el corpus
abordelar	already_paired	ya estaba en el corpus
aborrallar	unresolved	sin equivalente ES seguro
aborrear	unresolved	sin equivalente ES seguro
aborrecer	already_paired	ya estaba en el corpus
aborroeirar	unresolved	sin equivalente ES seguro
abortar	already_paired	ya estaba en el corpus
abotoar	already_paired	ya estaba en el corpus
aboubar	unresolved	sin equivalente ES seguro
aboucar	unresolved	sin equivalente ES seguro
abouxar	already_paired	ya estaba en el corpus
abovedar	already_paired	ya estaba en el corpus
abracar	unresolved	sin equivalente ES seguro
abraiar	already_paired	ya estaba en el corpus
abrandar	already_paired	ya estaba en el corpus
abranguer	already_paired	ya estaba en el corpus
abrasar	already_paired	ya estaba en el corpus
abrazar	already_paired	ya estaba en el corpus
abreviar	already_paired	ya estaba en el corpus
abrigar	already_paired	ya estaba en el corpus
abrillantar	already_paired	ya estaba en el corpus
abrir	already_paired	ya estaba en el corpus
abritar	unresolved	sin equivalente ES seguro
abrochar	already_paired	ya estaba en el corpus
abrogar	already_paired	ya estaba en el corpus
abrollar	added	apertium:brotar
abroquelar	unresolved	sin equivalente ES seguro
abruar	unresolved	sin equivalente ES seguro
absolver	already_paired	ya estaba en el corpus
absorber	already_paired	ya estaba en el corpus
abster	already_paired	ya estaba en el corpus
absterxer	unresolved	sin equivalente ES seguro
abstraer	unresolved	sin equivalente ES seguro
abucinar	already_paired	ya estaba en el corpus
abullar	unresolved	sin equivalente ES seguro
abundar	already_paired	ya estaba en el corpus
abur	unresolved	sin equivalente ES seguro
aburar	already_paired	ya estaba en el corpus
aburbullar	unresolved	sin equivalente ES seguro
aburguesar	added	apertium:aburguesar
aburrir	already_paired	ya estaba en el corpus
abusar	already_paired	ya estaba en el corpus
abxurar	already_paired	ya estaba en el corpus
acabalgar	already_paired	ya estaba en el corpus
acabar	already_paired	ya estaba en el corpus
acabicornar	unresolved	sin equivalente ES seguro
acachoar	unresolved	sin equivalente ES seguro
acachoupar	unresolved	sin equivalente ES seguro
acadar	already_paired	ya estaba en el corpus
acadarmar	unresolved	sin equivalente ES seguro
acadullar	unresolved	sin equivalente ES seguro
acaecer	already_paired	ya estaba en el corpus
acaer	unresolved	sin equivalente ES seguro
acainzar	unresolved	sin equivalente ES seguro
acalar	already_paired	ya estaba en el corpus
acalentar	unresolved	sin equivalente ES seguro
acalmar	unresolved	sin equivalente ES seguro
acalorar	already_paired	ya estaba en el corpus
acamar	already_paired	ya estaba en el corpus
acamboar	unresolved	sin equivalente ES seguro
acamelar	unresolved	sin equivalente ES seguro
acampar	already_paired	ya estaba en el corpus
acanalar	already_paired	ya estaba en el corpus
acanear	unresolved	sin equivalente ES seguro
acanizar	unresolved	sin equivalente ES seguro
acantazar	unresolved	sin equivalente ES seguro
acantilar	unresolved	sin equivalente ES seguro
acantoar	unresolved	sin equivalente ES seguro
acantonar	already_paired	ya estaba en el corpus
acaparar	already_paired	ya estaba en el corpus
acaramelar	already_paired	ya estaba en el corpus
acaravillar	unresolved	sin equivalente ES seguro
acarear	unresolved	sin equivalente ES seguro
acariciar	already_paired	ya estaba en el corpus
acariñar	already_paired	ya estaba en el corpus
acaroar	already_paired	ya estaba en el corpus
acarreirar	unresolved	sin equivalente ES seguro
acarroular	unresolved	sin equivalente ES seguro
acartonar	added	apertium:acartonar
acartuchar	unresolved	sin equivalente ES seguro
acarunchar	unresolved	sin equivalente ES seguro
acastizar	unresolved	sin equivalente ES seguro
acastroar	unresolved	sin equivalente ES seguro
acatar	already_paired	ya estaba en el corpus
acatarrar	already_paired	ya estaba en el corpus
acaudillar	already_paired	ya estaba en el corpus
acazapar	already_paired	ya estaba en el corpus
acceder	already_paired	ya estaba en el corpus
accidentar	already_paired	ya estaba en el corpus
accionar	already_paired	ya estaba en el corpus
acedar	unresolved	sin equivalente ES seguro
aceirar	already_paired	ya estaba en el corpus
aceitar	already_paired	ya estaba en el corpus
acelerar	already_paired	ya estaba en el corpus
acenar	unresolved	sin equivalente ES seguro
acender	already_paired	ya estaba en el corpus
acentuar	already_paired	ya estaba en el corpus
acepillar	unresolved	sin equivalente ES seguro
aceptar	already_paired	ya estaba en el corpus
acercar	already_paired	ya estaba en el corpus
acernar	unresolved	sin equivalente ES seguro
acerriquitar	unresolved	sin equivalente ES seguro
acertar	already_paired	ya estaba en el corpus
acetificar	already_paired	ya estaba en el corpus
achacar	already_paired	ya estaba en el corpus
achaiar	unresolved	sin equivalente ES seguro
achancar	unresolved	sin equivalente ES seguro
achandar	already_paired	ya estaba en el corpus
achantar	already_paired	ya estaba en el corpus
achanzar	unresolved	sin equivalente ES seguro
achar	already_paired	ya estaba en el corpus
acharoar	already_paired	ya estaba en el corpus
achatar	already_paired	ya estaba en el corpus
achedar	unresolved	sin equivalente ES seguro
achegar	already_paired	ya estaba en el corpus
achicar	already_paired	ya estaba en el corpus
achorentar	unresolved	sin equivalente ES seguro
achourilar	unresolved	sin equivalente ES seguro
achumbar	unresolved	sin equivalente ES seguro
acibar	unresolved	sin equivalente ES seguro
acicalar	already_paired	ya estaba en el corpus
acidificar	already_paired	ya estaba en el corpus
acidular	already_paired	ya estaba en el corpus
aciriscar	unresolved	sin equivalente ES seguro
acirrar	already_paired	ya estaba en el corpus
aclamar	already_paired	ya estaba en el corpus
aclarar	already_paired	ya estaba en el corpus
aclarear	unresolved	sin equivalente ES seguro
aclimatar	already_paired	ya estaba en el corpus
acobardar	unresolved	sin equivalente ES seguro
acochar	already_paired	ya estaba en el corpus
acocorar	unresolved	sin equivalente ES seguro
acoeirar	unresolved	sin equivalente ES seguro
acoirazar	already_paired	ya estaba en el corpus
acoitelar	already_paired	ya estaba en el corpus
acolar	already_paired	ya estaba en el corpus
acolchar	already_paired	ya estaba en el corpus
acoletar	unresolved	sin equivalente ES seguro
acoller	already_paired	ya estaba en el corpus
acolloar	already_paired	ya estaba en el corpus
acometer	already_paired	ya estaba en el corpus
acomodar	already_paired	ya estaba en el corpus
acompañar	already_paired	ya estaba en el corpus
acompasar	unresolved	sin equivalente ES seguro
aconchegar	already_paired	ya estaba en el corpus
acondicionar	already_paired	ya estaba en el corpus
aconsellar	already_paired	ya estaba en el corpus
acontecer	already_paired	ya estaba en el corpus
acorar	already_paired	ya estaba en el corpus
acordar	already_paired	ya estaba en el corpus
acordoar	already_paired	ya estaba en el corpus
acornellar	unresolved	sin equivalente ES seguro
acorrer	added	manual_verified:socorrer
acortar	unresolved	sin equivalente ES seguro
acortinar	unresolved	sin equivalente ES seguro
acosar	already_paired	ya estaba en el corpus
acostumar	already_paired	ya estaba en el corpus
acougar	already_paired	ya estaba en el corpus
acoutar	already_paired	ya estaba en el corpus
acovardar	already_paired	ya estaba en el corpus
acrecentar	already_paired	ya estaba en el corpus
acreditar	already_paired	ya estaba en el corpus
acrisolar	already_paired	ya estaba en el corpus
acristianar	already_paired	ya estaba en el corpus
acromatizar	already_paired	ya estaba en el corpus
activar	already_paired	ya estaba en el corpus
actualizar	already_paired	ya estaba en el corpus
actuar	already_paired	ya estaba en el corpus
acuar	already_paired	ya estaba en el corpus
acuartelar	already_paired	ya estaba en el corpus
acubillar	already_paired	ya estaba en el corpus
acubrir	unresolved	sin equivalente ES seguro
acucar	unresolved	sin equivalente ES seguro
acudir	already_paired	ya estaba en el corpus
acugular	already_paired	ya estaba en el corpus
acumular	already_paired	ya estaba en el corpus
acuñar	already_paired	ya estaba en el corpus
acurralar	already_paired	ya estaba en el corpus
acurrunchar	unresolved	sin equivalente ES seguro
acurtar	already_paired	ya estaba en el corpus
acurutar	unresolved	sin equivalente ES seguro
acuruxar	unresolved	sin equivalente ES seguro
acusar	already_paired	ya estaba en el corpus
adaptar	already_paired	ya estaba en el corpus
adecuar	already_paired	ya estaba en el corpus
adelgazar	already_paired	ya estaba en el corpus
adentar	unresolved	sin equivalente ES seguro
aderezar	already_paired	ya estaba en el corpus
adestrar	already_paired	ya estaba en el corpus
adeus	unresolved	sin equivalente ES seguro
adherir	already_paired	ya estaba en el corpus
